k [ Mpc^-1],P(k) [Mpc^3]
0.047927875,31394.31457
0.048289555,31156.81872
0.048653964,30914.47161
0.049021124,30667.19925
0.049391054,30414.93661
0.049763775,30157.63991
0.050139309,29895.31932
0.050517677,29628.00306
0.050898901,29355.72653
0.051283001,29078.53234
0.05167,28796.47402
0.052059919,28509.68247
0.052452781,28218.35638
0.052848607,27922.69822
0.05324742,27622.91162
0.053649243,27319.20153
0.054054098,27011.82146
0.054462009,26701.11305
0.054872998,26387.42168
0.055287088,26071.08559
0.055704303,25752.43566
0.056124666,25431.81249
0.056548202,25109.59283
0.056974933,24786.14906
0.057404885,24461.84145
0.057838082,24137.01814
0.058274548,23812.07802
0.058714307,23487.5565
0.059157385,23163.98707
0.059603806,22841.87758
0.060053597,22521.71062
0.060506781,22203.96159
0.060963386,21889.11027
0.061423436,21577.61236
0.061886958,21269.89705
0.062353978,20966.36915
0.062824522,20667.43631
0.063298617,20373.50665
0.06377629,20084.9632
0.064257567,19802.164
0.064742476,19525.4464
0.065231045,19255.14664
0.0657233,18991.58765
0.06621927,18735.07088
0.066718983,18485.87772
0.067222467,18244.23411
0.06772975,18010.26268
0.068240862,17784.06415
0.06875583,17565.73205
0.069274685,17355.34975
0.069797455,17152.93303
0.07032417,16958.44631
0.07085486,16771.85432
0.071389555,16593.12399
0.071928284,16422.18181
0.072471079,16258.80384
0.073017971,16102.74215
0.073568989,15953.76066
0.074124165,15811.62952
0.074683531,15676.02564
0.075247118,15546.54122
0.075814958,15422.78054
0.076387083,15304.36268
0.076963526,15190.87726
0.077544319,15081.77326
0.078129494,14976.48215
0.078719085,14874.45219
0.079313126,14775.14454
0.07991165,14677.99202
0.08051469,14582.40721
0.081122281,14487.81673
0.081734457,14393.66182
0.082351253,14299.37088
0.082972703,14204.31467
0.083598843,14107.86905
0.084229708,14009.42786
0.084865334,13908.41152
0.085505756,13804.338
0.086151011,13696.78812
0.086801136,13585.36116
0.087456166,13469.67607
0.08811614,13349.41374
0.088781094,13224.34552
0.089451066,13094.26828
0.090126094,12958.99831
0.090806216,12818.41297
0.09149147,12672.62929
0.092181895,12521.84833
0.092877531,12366.2772
0.093578416,12206.1322
0.09428459,12041.71787
0.094996093,11873.42028
0.095712966,11701.62308
0.096435248,11526.70299
0.097162981,11349.11725
0.097896206,11169.55789
0.098634963,10988.72899
0.099379296,10807.29931
0.100129245,10625.9113
0.100884854,10445.25896
0.101646165,10266.04086
0.102413222,10088.91049
0.103186066,9914.477569
0.103964743,9743.343702
0.104749296,9576.117947
0.105539769,9413.368649
0.106336208,9255.621909
0.107138657,9103.33881
0.107947161,8956.834799
0.108761767,8816.371678
0.10958252,8682.192282
0.110409466,8554.513975
0.111242653,8433.402236
0.112082128,8318.812238
0.112927937,8210.700491
0.113780129,8109.027747
0.114638753,8013.629198
0.115503855,7924.075801
0.116375486,7839.92701
0.117253695,7760.765051
0.118138531,7686.169005
0.119030044,7615.584932
0.119928284,7548.421434
0.120833304,7484.10953
0.121745152,7422.097501
0.122663882,7361.767945
0.123589545,7302.431883
0.124522193,7243.417617
0.12546188,7184.074908
0.126408657,7123.772342
0.12736258,7061.892628
0.128323701,6997.840469
0.129292074,6931.045755
0.130267756,6860.990697
0.1312508,6787.429146
0.132241263,6710.271493
0.1332392,6629.444967
0.134244668,6544.895479
0.135257723,6456.740404
0.136278424,6365.338478
0.137306826,6271.06186
0.13834299,6174.274211
0.139386973,6075.378594
0.140438834,5974.979629
0.141498632,5873.710988
0.142566429,5772.171073
0.143642283,5670.925951
0.144726256,5570.56027
0.145818409,5471.661741
0.146918804,5374.777695
0.148027502,5280.415437
0.149144568,5189.007219
0.150270063,5100.873667
0.151404051,5016.301196
0.152546597,4935.555309
0.153697765,4858.856221
0.15485762,4786.235892
0.156026228,4717.65549
0.157203654,4653.079239
0.158389966,4592.46745
0.15958523,4535.577025
0.160789514,4481.952252
0.162002886,4431.149285
0.163225414,4382.745686
0.164457168,4336.294394
0.165698217,4291.232722
0.166948631,4246.995257
0.168208482,4203.039414
0.16947784,4158.853112
0.170756777,4114.02957
0.172045365,4068.22843
0.173343677,4021.127046
0.174651787,3972.422644
0.175969768,3921.944409
0.177297695,3869.711483
0.178635643,3815.763754
0.179983688,3760.145767
0.181341905,3702.955628
0.182710372,3644.520655
0.184089166,3585.220533
0.185478365,3525.415885
0.186878047,3465.453245
0.188288292,3405.757625
0.189709178,3346.81024
0.191140788,3289.062316
0.1925832,3232.933377
0.194036498,3178.751226
0.195500763,3126.670551
0.196976077,3076.812486
0.198462525,3029.289545
0.19996019,2984.181161
0.201469157,2941.354252
0.202989511,2900.582938
0.204521338,2861.653189
0.206064725,2824.361014
0.207619759,2788.445351
0.209186527,2753.561704
0.210765119,2719.374831
0.212355624,2685.56556
0.213958131,2651.838624
0.215572731,2617.953458
0.217199515,2583.693995
0.218838576,2548.85649
0.220490005,2513.256835
0.222153897,2476.876298
0.223830345,2439.848156
0.225519444,2402.307003
0.22722129,2364.381939
0.228935978,2326.226941
0.230663606,2288.090374
0.232404271,2250.227121
0.234158072,2212.87594
0.235925108,2176.257662
0.237705478,2140.543114
0.239499283,2105.863345
0.241306626,2072.339394
0.243127607,2040.083862
0.244962329,2009.145115
0.246810897,1979.392119
0.248673415,1950.666916
0.250549989,1922.820106
0.252440723,1895.708865
0.254345726,1869.172984
0.256265104,1843.03896
0.258198967,1817.141816
0.260147423,1791.325617
0.262110583,1765.463354
0.264088558,1739.521181
0.266081459,1713.490639
0.268089399,1687.364512
0.270112492,1661.137944
0.272150852,1634.864892
0.274204594,1608.679954
0.276273834,1582.716277
0.278358689,1557.098715
0.280459278,1531.940339
0.282575718,1507.305896
0.284708129,1483.230465
0.286856632,1459.746058
0.289021349,1436.882187
0.291202401,1414.65225
0.293399913,1393.002199
0.295614007,1371.860985
0.29784481,1351.161383
0.300092447,1330.839799
0.302357046,1310.83401
0.304638734,1291.079314
0.30693764,1271.513644
0.309253895,1252.078575
0.311587629,1232.719373
0.313938974,1213.413486
0.316308063,1194.205155
0.31869503,1175.145094
0.32110001,1156.280942
0.323523139,1137.657322
0.325964553,1119.313989
0.328424391,1101.283064
0.330902792,1083.59362
0.333399896,1066.272611
0.335915844,1049.344984
0.338450778,1032.821595
0.341004841,1016.658935
0.343578179,1000.801265
0.346170935,985.1960015
0.348783258,969.7935824
0.351415293,954.5494051
0.354067192,939.4510432
0.356739102,924.5088319
0.359431175,909.7329732
0.362143564,895.1329802
0.364876421,880.7176962
0.367629901,866.4962419
0.37040416,852.4804045
0.373199354,838.6818492
0.376015642,825.1113446
0.378853183,811.778799
0.381712136,798.6932726
0.384592665,785.8553537
0.38749493,773.2472416
0.390419097,760.8494423
0.393365331,748.6435171
0.396333798,736.6120425
0.399324667,724.7385728
0.402338105,713.0110963
0.405374284,701.4334136
0.408433374,690.0131036
0.41151555,678.7571702
0.414620985,667.672062
0.417749854,656.7636937
0.420902335,646.0374144
0.424078606,635.4939201
0.427278846,625.1266879
0.430503236,614.9287891
0.433751958,604.8936031
0.437025196,595.0148061
0.440323136,585.2863604
0.443645962,575.7025044
0.446993864,566.2586173
0.45036703,556.9537903
0.453765651,547.7879576
0.457189919,538.7609588
0.460640028,529.8725434
0.464116173,521.122375
0.46761855,512.5100345
0.471147357,504.0350248
0.474702793,495.6965986
0.47828506,487.4926758
0.48189436,479.4206459
0.485530897,471.4779608
0.489194877,463.6621363
0.492886506,455.9707501
0.496605993,448.4014397
0.500353549,440.9519014
0.504129385,433.6198885
0.507933715,426.4032115
0.511766754,419.2999122
0.515628718,412.3083753
0.519519826,405.4270346
0.523440297,398.6543409
0.527390354,391.9887618
0.531370219,385.4287822
0.535380118,378.9729036
0.539420276,372.6196444
0.543490923,366.3675398
0.547592288,360.2151415
0.551724604,354.1610179
0.555888104,348.2037525
0.560083022,342.3419323
0.564309597,336.5741544
0.568568067,330.8990334
0.572858673,325.3152012
0.577181658,319.8213073
0.581537265,314.416018
0.585925741,309.0980168
0.590347333,303.8660042
0.594802293,298.718697
0.599290871,293.6548289
